skt(K),surtsn(K),albsn(0-1),snfall(m),smlt(m),windsp10(m),2mTair,total_prec,LWdown(MJ/m2/d),SWdown(MJ/m2/d),netSWdown(MJ/m2/d),netLWup(MJ/m2/d),LE(J/m2),H(J/m2)
282.5218,273.0076,0.5205,0,0.0157,1.11358222866567,283.8949,0.0009,24.529,28.5162,21.6785,-6.6371,-3.1679,-5.7797
285.1393,273.0965,0.8249,0,0,0.872100647861243,285.6419,0.0011,24.6452,24.8538,21.6679,-7.5672,-5.5147,-7.5919
280.7671,273.1598,0.88,0,0,0.377629408282777,281.3579,0.0011,22.9953,20.3068,17.7935,-7.2582,-3.3656,-6.9739
272.6271,269.2234,0.7058,0.001,0.0008,0.902218476866884,273.7816,0.0025,22.1659,12.0746,9.5835,-4.8241,-1.6605,-3.5012
263.1736,262.1699,0.7747,0.0023,0,0.967548784299789,263.9062,0.0023,19.3346,8.0146,5.67,-4.1144,-0.5907,-1.8531
259.5153,259.4073,0.7785,0.0018,0,0.169477697647803,260.4081,0.0018,18.0747,6.9807,4.622,-4.0903,-0.3235,-0.6879
261.1598,260.7574,0.8379,0.0034,0,0.887056131256642,262.0749,0.0034,18.7294,7.3574,4.8149,-3.9906,-0.2705,-0.7855
262.188,261.7078,0.8322,0.0025,0,0.623602317186202,262.2272,0.0025,19.1549,10.0809,6.6016,-3.9052,-0.4066,-2.6094
268.5622,267.2281,0.8216,0.0024,0,1.2503116171579,268.3144,0.0027,20.6794,15.9192,10.4533,-4.7147,-1.3112,-4.4738
271.6398,269.71,0.7395,0.0016,0.0012,0.916469928584675,271.077,0.002,20.8108,22.7381,15.1769,-5.7481,-2.0456,-7.3943
274.4113,271.8567,0.6453,0.0012,0.0024,0.673840574616875,273.7083,0.0026,21.6156,25.9575,17.6595,-6.0516,-2.5411,-8.535
279.5321,272.6385,0.5528,0.0001,0.01,1.24181683834614,280.3358,0.0005,22.6593,30.1838,22.0404,-7.1919,-3.5533,-7.4452
286.6636,273.1403,0.7738,0,0,0.634300756739262,286.9308,0.0018,26.0622,26.4052,22.9054,-6.8956,-6.9412,-7.3609
286.6271,273.1598,0.88,0,0,0.636207552611567,287.1006,0.0003,24.5892,25.7302,22.4315,-8.2053,-4.0104,-9.5239
280.602,273.1605,0.88,0,0,0.463883228841052,281.2802,0.0014,23.0291,20.0505,17.5672,-7.1422,-3.1667,-7.2272
271.9049,267.9483,0.7433,0.0012,0.0003,0.921730209985547,272.6397,0.0021,21.3448,12.6187,10.4667,-5.3147,-1.2602,-4.2006
266.3456,265.9844,0.7461,0.002,0.0005,0.896132741283344,267.3125,0.0021,20.9927,7.6152,5.1346,-3.6357,-0.7923,-1.1947
260.9908,260.7956,0.8493,0.0034,0,0.85492689745966,261.0045,0.0035,19.6911,5.6817,3.7089,-3.0008,-0.2896,-0.8064
259.2185,258.8024,0.8053,0.0017,0,0.413671959407451,260.1878,0.0017,17.9751,7.8494,5.17,-4.0877,-0.2237,-1.102
262.1542,261.7167,0.8256,0.0013,0,0.652639257170453,262.2276,0.0013,18.7352,11.591,7.6018,-4.2867,-0.4968,-3.1791
265.8785,264.8725,0.8278,0.0019,0,0.870947834258746,265.8507,0.002,19.2356,17.4081,11.4106,-5.1371,-0.9375,-5.4529
268.4863,267.3044,0.8199,0.0027,0,0.659815163511722,268.1393,0.003,19.9704,21.9798,14.4252,-5.3579,-1.605,-7.8571
274.8394,272.0084,0.6463,0.0011,0.0035,0.348420851844432,274.1094,0.0024,22.0946,25.8298,17.5637,-5.7463,-2.3075,-8.5166
279.8438,272.6701,0.5322,0,0.0093,0.908298034788142,280.6693,0.0006,23.1273,29.503,22.0233,-6.8591,-3.7537,-7.4519
286.9639,273.1435,0.8136,0,0,0.455386451269688,287.1379,0.001,25.3648,27.7451,24.0719,-7.6698,-6.5364,-8.5631
286.1473,273.1614,0.88,0,0,0.676407569443158,286.298,0.001,25.1134,24.5176,21.3739,-7.4894,-4.1158,-9.1701
279.8934,271.8913,0.8251,0.0008,0.0002,0.65524728156628,279.9685,0.0029,24.9566,15.5827,13.3405,-5.0385,-3.2049,-5.3207
268.2439,267.3296,0.7362,0.002,0.0013,0.16498657521144,269.6068,0.0023,21.0506,12.7195,8.6148,-4.2974,-1.7757,-2.8774
264.8143,264.4351,0.8129,0.0018,0,0.703444333263123,265.099,0.0018,20.4024,8.1501,5.3589,-3.6503,-0.696,-1.4516
259.1087,258.964,0.828,0.0025,0,0.651023885890526,259.645,0.0025,18.7218,6.1201,4.0114,-3.34,-0.1511,-0.8367
261.1164,260.8499,0.8321,0.0027,0,0.709709130559837,262.4383,0.0028,18.62,7.5619,4.9578,-4.0669,-0.1644,-1.0801
263.4186,262.927,0.863,0.006,0,1.49438482326341,263.1953,0.006,20.7581,9.0447,5.887,-2.7937,-0.4908,-2.7473
266.9225,266.0967,0.8532,0.0047,0,1.21372369178491,266.9277,0.0047,20.0741,16.1824,10.5591,-4.6733,-0.989,-5.1987
269.4618,268.2182,0.7901,0.0023,0,0.96478577933135,269.0416,0.0027,20.0684,22.138,14.6251,-5.6218,-1.7632,-7.6281
274.9601,271.7089,0.6707,0.0008,0.0047,0.430039823737291,274.4982,0.0015,21.7269,27.2596,18.4723,-6.1609,-2.1681,-8.5508
277.7198,272.9609,0.5395,0.0002,0.0109,0.95168543647573,277.5566,0.0018,22.8082,27.9968,19.441,-6.2378,-2.0047,-7.6458
285.2324,273.0324,0.662,0,0.0041,0.504781071356682,286.0044,0.0008,25.0642,28.2808,23.6773,-7.2535,-6.0982,-7.4816
282.9358,273.1522,0.8798,0,0,0.514608754297865,283.0014,0.0035,25.7302,20.8741,18.1969,-5.5606,-5.586,-6.7352
279.9755,271.2676,0.6853,0.0001,0,0.691359132434077,280.3569,0.002,23.4081,18.7654,16.4251,-6.5594,-3.8194,-5.7932
273.0209,268.2755,0.6469,0.0006,0.0005,0.769540284845439,274.5746,0.001,21.1597,14.0497,11.7348,-5.9669,-1.9405,-3.6572
264.6242,263.6783,0.783,0.0039,0.0001,0.86302289656764,265.2947,0.0041,20.5362,7.8263,5.5542,-3.5061,-0.6796,-1.8502
263.5205,263.3421,0.8438,0.0029,0,0.540917091613863,263.5411,0.0029,20.5521,5.6512,3.6934,-3.0412,-0.2743,-0.776
263.9217,263.3712,0.8336,0.0018,0,0.364607748134896,264.5166,0.0018,19.7969,7.5608,4.9526,-3.907,-0.203,-0.915
265.173,264.601,0.8365,0.0024,0,0.564951997960889,265.6519,0.0024,19.2265,11.9476,7.8223,-4.8903,-0.551,-2.7692
268.567,267.2433,0.7457,0.0009,0,0.720050616276384,268.8841,0.001,19.3009,17.8361,11.8938,-6.0739,-1.221,-4.6544
270.6511,269.0708,0.7551,0.0017,0.0001,0.506097619042018,270.2203,0.002,20.1978,22.8782,15.2171,-5.9507,-1.8927,-7.6136
275.0018,272.694,0.6225,0.0009,0.0035,0.531032522544524,274.2696,0.0028,23.0673,23.2912,15.9138,-4.8527,-1.9463,-8.3021
282.5403,272.9625,0.5322,0,0.0098,0.581491186519624,283.0672,0.001,24.4384,28.9434,22.6276,-6.7229,-4.0397,-7.318
283.773,273.1501,0.8757,0,0,0.68053727304241,283.9054,0.002,25.0006,25.9456,22.5136,-6.6291,-6.33,-8.8949
284.7033,273.1607,0.88,0,0,0.614918954009388,284.8186,0.0012,24.8772,23.9291,20.8623,-7.1223,-4.8132,-8.399
280.5133,272.005,0.7755,0.0001,0.0001,1.05416109300239,281.2056,0.0014,23.1181,19.7055,17.1973,-7.0385,-3.2788,-6.7539
275.8974,270.3823,0.6739,0.0004,0,0.599917494327345,276.4603,0.0018,23.0496,12.2309,10.6909,-5.2256,-2.204,-3.6399
263.3413,263.0988,0.8104,0.0023,0.0001,0.450541585206072,263.4884,0.0026,19.7557,8.362,5.5062,-3.7616,-0.8176,-1.5229
260.5689,260.377,0.8377,0.0028,0,0.652225306163445,260.7373,0.0028,19.332,6.0379,3.9517,-3.21,-0.2883,-0.807
262.3606,261.9825,0.8153,0.0021,0,0.504303727925939,262.336,0.0021,19.6898,7.2825,4.784,-3.4441,-0.3202,-1.2529
264.7194,264.0552,0.8355,0.002,0,0.896660928110509,265.1898,0.002,19.5076,11.6223,7.608,-4.4563,-0.5048,-2.7825
267.102,266.1373,0.8494,0.0032,0,0.769743989908333,266.8333,0.0034,20.1645,16.2299,10.59,-4.6528,-1.0738,-5.1122
271.9212,270.484,0.7342,0.0014,0.0002,0.23117633961978,271.4342,0.0022,21.0424,21.7972,14.5612,-5.6052,-1.9136,-7.3848
274.7011,272.1876,0.6279,0.0006,0.0035,0.367986195393251,274.0225,0.0026,22.0606,25.8784,17.6513,-5.7215,-2.1297,-8.8629
281.9098,272.8979,0.5256,0,0.0102,0.916868103927713,282.6854,0.0007,23.8545,29.1098,22.7004,-7.0139,-4.0967,-7.134
285.4558,272.6426,0.8053,0,0,1.18008179801232,285.7626,0.0007,24.2084,28.6694,24.8775,-8.0934,-5.4983,-10.3785
285.1691,273.1607,0.88,0,0,0.742271661859726,285.3843,0.0003,23.7159,25.4199,22.1616,-8.3704,-2.8672,-10.5388
279.0132,271.3737,0.6788,0.0004,0.0004,0.774621159019039,279.538,0.0033,23.8135,17.7465,15.3345,-5.7473,-3.6146,-6.0197
271.9251,269.7641,0.6981,0.0019,0.0015,1.17221967224578,272.3843,0.0043,22.7565,11.8639,8.644,-3.9911,-2.2531,-2.4581
267.5898,265.3992,0.6975,0.0015,0.0003,0.542600036859564,268.7436,0.0015,20.4163,8.7996,6.7712,-4.6756,-0.769,-1.7002
259.4362,259.2589,0.8582,0.0052,0,0.841262961267165,259.5256,0.0052,19.5131,5.4887,3.5764,-2.6647,-0.2139,-0.9993
259.4507,258.9933,0.843,0.0035,0,0.482078520575227,260.1426,0.0035,18.2143,7.5457,4.9331,-3.9281,-0.2438,-1.0059
265.7599,265.2638,0.849,0.0065,0,1.23500585423714,265.705,0.0067,21.2924,9.1782,5.9965,-3.0944,-0.6743,-2.6731
