skt(K),surtsn(K),albsn(0-1),snfall(m),smlt(m),windsp10(m),2mTair,total_prec,LWdown(MJ/m2/d),SWdown(MJ/m2/d),netSWdown(MJ/m2/d),netLWup(MJ/m2/d),LE(J/m2),H(J/m2)
286.4315,273.1601,0.8799,0,0,0.363137935225721,286.5117,0.0043,29.0928,11.4756,10.1605,-3.7888,-5.6423,-0.5482
281.8411,273.1597,0.8799,0,0,0.241168488820575,282.0742,0.0053,27.3651,6.9595,6.2699,-3.4575,-3.45,0.4421
274.5167,270.5865,0.7114,0.0011,0.0004,0.873795056062919,274.9769,0.0049,24.0497,3.6953,3.3185,-3.7012,-0.9177,0.4346
262.3075,262.605,0.6617,0.0006,0.0001,1.58820065797745,265.0276,0.0006,19.0529,1.7985,1.1857,-4.0905,-0.4495,2.4866
262.862,263.1696,0.7916,0.0028,0.0001,0.801444152764246,266.1014,0.0033,21.7528,0.4151,0.2606,-1.6932,0.0697,0.8477
260.0184,260.1224,0.7702,0.0009,0,1.79020729805238,262.4095,0.0011,19.2414,1.1612,0.7332,-3.1131,-0.1723,1.9529
261.0786,260.9766,0.7658,0.0013,0,1.1920183387851,262.797,0.0013,18.8379,3.7774,2.3769,-3.8686,-0.2738,1.2929
268.5009,267.485,0.7687,0.0014,0,1.14761757131895,268.5582,0.0014,20.4668,8.8433,5.6047,-4.8742,-0.8828,0.1077
274.74,272.1019,0.6135,0.0008,0.0046,0.492960120090865,274.4673,0.0023,22.6137,14.2832,9.2996,-5.1758,-0.9932,-1.4608
279.5815,273.0376,0.5826,0.0002,0.0037,0.242015701969934,279.8689,0.0032,25.474,16.6701,13.5627,-4.3767,-3.5749,-2.9789
286.143,273.1587,0.8642,0,0,0.554679051344108,286.2314,0.0031,27.7409,18.7723,16.5678,-4.9674,-7.7643,-2.5385
289.1103,273.1589,0.8799,0,0,0.543591206698563,289.2143,0.0022,29.4369,17.7962,15.6008,-4.6644,-8.0238,-1.9558
286.0562,273.1601,0.8799,0,0,0.3554712505956,286.1995,0.0058,29.5603,9.3881,8.3162,-3.1625,-4.988,0.0028
284.2838,273.1569,0.8799,0,0,0.809214588350952,284.5001,0.0021,26.771,9.7821,8.8021,-5.0884,-3.6884,-0.0079
277.2229,271.9682,0.7128,0.0003,0.0003,0.736820473385478,277.7001,0.006,25.444,3.3482,3.0509,-3.419,-1.4724,1.0535
269.0961,267.313,0.5895,0.0006,0.0001,1.20736676283555,270.5399,0.0024,22.3274,1.4155,1.2285,-3.2825,-0.0056,0.854
262.6003,262.6988,0.8224,0.0033,0,1.0465891505266,264.7406,0.0036,21.9537,0.3808,0.2375,-1.3684,-0.0108,0.823
258.9694,259.0864,0.7582,0.0018,0,1.04820231825731,261.7721,0.0019,19.9732,0.9261,0.5857,-2.1991,0.0235,1.0821
263.1828,262.9775,0.8201,0.0018,0,1.13725329192753,263.9589,0.0018,19.9627,3.6241,2.2617,-3.4557,-0.299,1.0596
272.2839,270.9043,0.6772,0.0014,0.0026,0.533658242698452,272.3934,0.0024,23.6672,6.902,4.4651,-3.2082,-0.2968,-0.0096
274.8876,272.5542,0.5901,0.0007,0.0034,0.668401413822562,274.9079,0.0012,22.3131,15.0461,9.838,-5.5306,-1.4278,-1.9673
281.0821,273.0782,0.573,0,0.0038,0.0999359795068823,281.5095,0.0031,26.2611,15.4,12.949,-4.2437,-4.0076,-2.055
289.8954,273.1549,0.8733,0,0,0.393111498178316,289.8718,0.0011,28.4383,22.7976,20.1089,-6.0042,-9.164,-3.4391
293.1572,273.1601,0.8799,0,0,0.159696274220785,293.033,0.0014,30.3039,20.511,17.9807,-5.688,-7.5136,-4.1021
289.7445,273.1601,0.8799,0,0,0.604958320878389,289.7363,0.0009,28.6698,15.5177,13.7489,-5.6446,-5.1048,-2.7586
282.4725,272.9428,0.8583,0,0,0.441126399119345,282.759,0.0053,27.6267,6.5463,5.8935,-3.4866,-2.8073,-0.1053
275.5257,271.7645,0.5714,0.0003,0.0003,0.770008837611621,275.9925,0.0043,24.8035,3.6238,3.2754,-3.3454,-1.4511,0.9569
270.7248,269.6532,0.6666,0.0044,0.0002,0.984716172305502,271.8333,0.0064,24.1975,1.0465,0.8536,-2.1031,-0.341,0.9839
261.1732,261.2858,0.7656,0.0019,0,1.56054823699878,263.2525,0.0023,20.8637,0.4531,0.286,-1.9492,-0.1801,1.1919
